 Text, Emotion
Saya merasa sedih karena tata usaha kampus tidak memberikan panduan yang cukup jelas dalam proses pengajuan judul skripsi.,Sedih
Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan perpanjangan peminjaman buku perpustakaan bagi mahasiswa.,Senang
Saya merasa sedih karena tata usaha kampus terkadang tidak memberikan peringatan dini mengenai batas waktu peminjaman buku perpustakaan.,Sedih
Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang peluang pengabdian masyarakat bagi mahasiswa.,Senang
Saya merasa sedih karena tata usaha kampus tidak selalu memberikan dukungan yang memadai bagi mahasiswa yang tertarik untuk berkontribusi dalam program pengabdian masyarakat.,Sedih
Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan izin observasi lapangan bagi mahasiswa.,Senang
Saya merasa sedih karena tata usaha kampus tidak selalu memberikan dukungan yang memadai bagi mahasiswa yang ingin melakukan observasi lapangan.,Sedih
Pelayanan tata usaha kampus sangat sigap dalam mengurus proses pengurusan izin wawancara bagi mahasiswa yang sedang melakukan penelitian.,Senang
Saya merasa sedih karena tata usaha kampus terkadang tidak memberikan panduan yang lengkap tentang proses pengurusan izin wawancara bagi mahasiswa.,Sedih
Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan izin akses ke laboratorium bagi mahasiswa.,Senang
Saya merasa sedih karena tata usaha kampus terkadang tidak memberikan respon yang cepat terhadap permohonan izin akses ke laboratorium.,Sedih
Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan surat keterangan pengganti KTM bagi mahasiswa yang kehilangan KTM.,Senang
Saya merasa sedih karena tata usaha kampus terkadang memperlambat proses pengurusan surat keterangan pengganti KTM bagi mahasiswa yang kehilangan KTM.,Sedih
Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang persyaratan wisuda bagi mahasiswa.,Senang
Saya merasa sedih karena tata usaha kampus terkadang tidak memberikan panduan yang lengkap tentang persyaratan wisuda bagi mahasiswa.,Sedih
 Saya merasa kesal karena tata usaha kampus seringkali lambat dalam mengurus proses administrasi pembayaran uang kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus terkadang tidak responsif terhadap permohonan dispensasi kuliah.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan penjelasan yang memadai mengenai biaya pendaftaran ulang setiap semester.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang akurat tentang jadwal kuliah dan pengumuman penting.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak menjawab telepon atau email dengan baik dan jelas.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan pelayanan yang ramah dan sopan kepada mahasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang tepat tentang perubahan jadwal kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan kemudahan dalam proses pengajuan cuti kuliah.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak menginformasikan dengan jelas tentang peraturan dan tata tertib kampus.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kendala akademik.,Kecewa
 Saya merasa kesal karena tata usaha kampus seringkali lambat dalam memproses pengurusan surat-surat penting bagi mahasiswa.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang prosedur pengajuan skripsi.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak menggubris keluhan atau masukan dari mahasiswa.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan magang.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak responsif dalam menghadapi keluhan dari mahasiswa.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan panduan yang lengkap tentang proses pembuatan KTM baru.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan informasi yang akurat tentang jadwal ujian.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan bantuan yang memadai dalam mengurus pengurusan beasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang tepat tentang proses pembayaran uang kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan pelayanan yang cepat dalam proses pengurusan administrasi mahasiswa baru.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan penjelasan yang memadai tentang syarat dan ketentuan peminjaman buku di perpustakaan kampus.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang diperlukan dalam proses pengajuan cuti kuliah.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan bantuan yang memadai dalam mengurus surat keterangan aktif kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pembuatan surat keterangan aktif kuliah.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam proses pengurusan izin cuti kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan respon yang cepat terhadap pertanyaan dan keluhan mahasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak mengurus dispensasi kuliah dengan segera.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam proses pengurusan cuti kuliah.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan ujian.,Kesal
Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan bantuan yang diperlukan dalam mengurus surat rekomendasi beasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan penjelasan yang memadai tentang prosedur penggantian dosen pembimbing skripsi.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan penggantian dosen pembimbing skripsi.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang proses pengajuan perpanjangan waktu skripsi.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan respon yang cepat terhadap permohonan perpanjangan waktu skripsi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang proses pendaftaran seminar skripsi.,Kesal
Saya merasa kecewa  karena tata usaha kampus terkadang tidak responsif terhadap pertanyaan mahasiswa tentang seminar skripsi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan pelayanan yang ramah saat proses pendaftaran wisuda.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang lengkap tentang proses pendaftaran wisuda.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus proses pendaftaran wisuda.,Kesal
Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan penjelasan yang jelas tentang persyaratan mengikuti wisuda.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang jadwal ujian skripsi.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pengajuan perpanjangan ujian skripsi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan respon yang cepat terhadap permohonan perpanjangan ujian skripsi.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan mengikuti ujian akhir semester.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa menghadapi masalah akademik.,Kesal
Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon permohonan pengurusan surat-surat penting mahasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pengajuan dispensasi kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan masa studi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang biaya pembuatan KTM baru.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang baik dalam mengurus proses pendaftaran mata kuliah.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak responsif dalam memproses pengurusan surat keterangan aktif kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang prosedur penggantian buku perpustakaan yang hilang.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang akurat tentang persyaratan pendaftaran mata kuliah prasyarat.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan penjelasan yang memadai tentang proses pengunduran diri dari suatu mata kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus pendaftaran mata kuliah ulang.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang proses pengajuan cuti kuliah akademik.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan respon yang cepat terhadap pertanyaan mengenai pendaftaran mata kuliah.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pembuatan surat keterangan aktif kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus perpanjangan masa studi.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak menginformasikan dengan jelas tentang tata cara pembayaran uang kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan bantuan yang memadai dalam mengurus pengurusan beasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan penjelasan yang memadai tentang prosedur pengajuan cuti kuliah akademik.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan kegiatan kampus.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus penggantian KTM yang hilang.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah ulang.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang proses pendaftaran mata kuliah prasyarat.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang.,Kesal
Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon pertanyaan mahasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah prasyarat.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengajukan cuti kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus dispensasi kuliah.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pengajuan dispensasi kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan dukungan yang memadai dalam mengurus penggantian KTM yang hilang.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak selalu memberikan pelayanan yang baik dalam mengurus proses pendaftaran mata kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pendaftaran mata kuliah ulang.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang proses pendaftaran mata kuliah prasyarat.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang.,Kesal
Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang prosedur pengambilan KTM baru.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal perwalian.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak responsif dalam merespon permohonan dispensasi kuliah.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang persyaratan pembuatan surat keterangan aktif kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan bantuan yang memadai dalam mengurus pengurusan surat-surat penting mahasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang prosedur pembuatan KTM baru.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang baik dalam mengurus proses perpanjangan masa studi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak responsif dalam mengatasi keluhan mahasiswa tentang biaya kuliah yang tidak sesuai.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus pengajuan cuti kuliah akademik.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang prosedur penggantian buku perpustakaan yang hilang.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak responsif dalam merespon permohonan dispensasi kuliah.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang prosedur pengambilan mata kuliah ulang.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus perpanjangan masa studi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang prosedur penggantian KTM yang hilang.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang persyaratan pendaftaran mata kuliah prasyarat.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan dispensasi kuliah.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus pendaftaran mata kuliah ulang.,Kesal
Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan penjelasan yang memadai tentang proses pengunduran diri dari suatu mata kuliah.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang syarat dan ketentuan mengajukan cuti kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus perpanjangan masa studi.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak menginformasikan dengan jelas tentang tata cara pembayaran uang kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan bantuan yang memadai dalam mengurus pengurusan beasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan penjelasan yang memadai tentang prosedur pengajuan cuti kuliah akademik.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan kegiatan kampus.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus penggantian KTM yang hilang.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah ulang.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang proses pendaftaran mata kuliah prasyarat.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang.,Kesal
Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang.,Kesal
Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon pertanyaan mahasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah prasyarat.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengajukan cuti kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus pengurusan beasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang prosedur pembayaran uang kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak responsif dalam merespon pertanyaan mahasiswa tentang proses administrasi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang prosedur pengajuan cuti kuliah akademik.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan kegiatan kampus.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus penggantian KTM yang hilang.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah ulang.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang prosedur pendaftaran mata kuliah prasyarat.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang.,Kesal
Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang.,Kesal
Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon pertanyaan mahasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah prasyarat.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengajukan cuti kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus pengurusan beasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang prosedur pembayaran uang kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak responsif dalam merespon pertanyaan mahasiswa tentang proses administrasi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang prosedur pengajuan cuti kuliah akademik.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan kegiatan kampus.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus penggantian KTM yang hilang.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah ulang.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang prosedur pendaftaran mata kuliah prasyarat.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang.,Kesal
Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang.,Kesal
Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon pertanyaan mahasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah prasyarat.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengajukan cuti kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus pengurusan beasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang prosedur pembayaran uang kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak responsif dalam merespon pertanyaan mahasiswa tentang proses administrasi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang prosedur pengajuan cuti kuliah akademik.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan kegiatan kampus.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus penggantian KTM yang hilang.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah ulang.,Kecewa
 Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang prosedur pendaftaran mata kuliah prasyarat.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang.,Kesal
Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang.,Kesal
Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon pertanyaan mahasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah prasyarat.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengajukan cuti kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus pengurusan beasiswa.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang prosedur pembayaran uang kuliah.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak responsif dalam merespon pertanyaan mahasiswa tentang proses administrasi.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang prosedur pengajuan cuti kuliah akademik.,Kesal
Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan kegiatan kampus.,Kecewa
 Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi.,Kesal
