, Emotion, Text
1212,puas, Pelayanan tata usaha kampus sangat responsif dalam menanggapi pertanyaan mahasiswa terkait jadwal kuliah.
1213,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan informasi yang tepat waktu tentang perubahan jadwal kuliah.
1214,puas, Pelayanan tata usaha kampus sangat membantu dalam mengurus perpanjangan masa studi bagi mahasiswa yang membutuhkan.
1215,sedih, Saya merasasedih karena tata usaha kampus terkadang lambat dalam merespon dan menindaklanjuti masalah akademik mahasiswa.
1216,puas, Pelayanan tata usaha kampus membantu mahasiswa dalam mengurus izin cuti kuliah dengan proses yang mudah.
1217,sedih, Saya merasasedih karena adanya kebingungan proses akademik mahasiswa akibat kurangnya informasi yang disediakan oleh tata usaha kampus.
1218,puas, Pelayanan tata usaha kampus memberikan panduan yang jelas dalam proses pembuatan skripsi bagi mahasiswa.
1219,sedih, Saya merasasedih karena tata usaha kampus terkadang kurang tanggap terhadap masalah administrasi yang dialami oleh mahasiswa.
1220,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan kartu mahasiswa.
1221,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan solusi yang memuaskan terhadap masalah-masalah yang dihadapi mahasiswa.
1222,puas, Pelayanan tata usaha kampus sangat sigap dalam mengurus surat keterangan aktif kuliah bagi mahasiswa.
1223,sedih, Saya merasasedih karena tata usaha kampus kadangkala lambat dalam memberikan konfirmasi terkait permohonan beasiswa mahasiswa.
1224,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan sertifikat akademik.
1225,sedih, Saya merasasedih karena kurangnya koordinasi antara tata usaha kampus dan dosen terkait masalah akademik mahasiswa.
1226,puas, Pelayanan tata usaha kampus memberikan kemudahan dalam proses pengurusan surat dispensasi kuliah.
1227,sedih, Saya merasasedih karena tata usaha kampus kadangkala kurang responsif terhadap permohonan dispensasi kuliah mahasiswa.
1228,puas, Pelayanan tata usaha kampus membantu dalam proses pengurusan penggantian kartu mahasiswa yang hilang.
1229,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan pengarahan yang jelas terkait prosedur penggantian kartu mahasiswa yang hilang.
1230,puas, Pelayanan tata usaha kampus memiliki sistem antrian yang efisien dalam melayani mahasiswa.
1231,sedih, Saya merasasedih karena tata usaha kampus terkadang kurang memberikan pendampingan dalam proses pembuatan ijazah.
1232,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi terkait program magang bagi mahasiswa.
1233,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap pertanyaan mahasiswa terkait pendaftaran mata kuliah.
1234,puas, Pelayanan tata usaha kampus sangat sigap dalam mengurus proses perpindahan mahasiswa antarprogram studi.
1235,sedih, Saya merasasedih karena tata usaha kampus tidak memberikan informasi yang memadai tentang fasilitas pendukung bagi mahasiswa difabel.
1236,puas, Pelayanan tata usaha kampus memberikan pengarahan yang jelas tentang prosedur peminjaman fasilitas laboratorium bagi mahasiswa.
1237,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang menghadapi masalah keuangan.
1238,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan surat keterangan aktif kuliah bagi mahasiswa yang berkuliah di luar kota.
1239,sedih, Saya merasasedih karena tata usaha kampus tidak memberikan informasi yang cukup lengkap tentang kesempatan berkarir bagi lulusan.
1240,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan cuti kuliah bagi mahasiswa yang membutuhkan.
1241,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap permohonan cuti kuliah.
1242,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan penggantian buku transkrip akademik yang hilang.
1243,sedih, Saya merasasedih karena tata usaha kampus kadangkala tidak memberikan informasi yang lengkap tentang ketentuan dan biaya penggantian buku transkrip akademik.
1244,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa.
1245,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa.
1246,puas, Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing.
1247,sedih, Saya merasasedih karena tata usaha kampus terkadang lambat dalam memberikan dukungan dalam proses perpanjangan izin tinggal bagi mahasiswa asing.
1248,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan cuti kuliah bagi mahasiswa yang membutuhkan.
1249,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap permohonan cuti kuliah.
1250,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan penggantian buku transkrip akademik yang hilang.
1251,sedih, Saya merasasedih karena tata usaha kampus kadangkala tidak memberikan informasi yang lengkap tentang ketentuan dan biaya penggantian buku transkrip akademik.
1252,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa.
1253,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa.
1254,puas, Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing.
1255,sedih, Saya merasasedih karena tata usaha kampus terkadang lambat dalam memberikan dukungan dalam proses perpanjangan izin tinggal bagi mahasiswa asing.
1256,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan cuti kuliah bagi mahasiswa yang membutuhkan.
1257,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap permohonan cuti kuliah.
1258,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan penggantian buku transkrip akademik yang hilang.
1259,sedih, Saya merasasedih karena tata usaha kampus kadangkala tidak memberikan informasi yang lengkap tentang ketentuan dan biaya penggantian buku transkrip akademik.
1260,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa.
1261,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa.
1262,puas, Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing.
1263,sedih, Saya merasasedih karena tata usaha kampus terkadang lambat dalam memberikan dukungan dalam proses perpanjangan izin tinggal bagi mahasiswa asing.
1264,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan cuti kuliah bagi mahasiswa yang membutuhkan.
1265,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap permohonan cuti kuliah.
1266,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan penggantian buku transkrip akademik yang hilang.
1267,sedih, Saya merasasedih karena tata usaha kampus kadangkala tidak memberikan informasi yang lengkap tentang ketentuan dan biaya penggantian buku transkrip akademik.
1268,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa.
1269,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa.
1270,puas, Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing.
1271,sedih, Saya merasasedih karena tata usaha kampus terkadang lambat dalam memberikan dukungan dalam proses perpanjangan izin tinggal bagi mahasiswa asing.
1272,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan cuti kuliah bagi mahasiswa yang membutuhkan.
1273,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap permohonan cuti kuliah.
1274,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan penggantian buku transkrip akademik yang hilang.
1275,sedih, Saya merasasedih karena tata usaha kampus kadangkala tidak memberikan informasi yang lengkap tentang ketentuan dan biaya penggantian buku transkrip akademik.
1276,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa.
1277,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa.
1278,puas, Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing.
1279,sedih, Saya merasasedih karena tata usaha kampus terkadang lambat dalam memberikan dukungan dalam proses perpanjangan izin tinggal bagi mahasiswa asing.
1280,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan cuti kuliah bagi mahasiswa yang membutuhkan.
1281,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan respon yang tepat waktu terhadap permohonan cuti kuliah.
1282,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan penggantian buku transkrip akademik yang hilang.
1283,sedih, Saya merasasedih karena tata usaha kampus kadangkala tidak memberikan informasi yang lengkap tentang ketentuan dan biaya penggantian buku transkrip akademik.
1284,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang program beasiswa yang tersedia bagi mahasiswa.
1285,sedih, Saya merasasedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan finansial untuk mengakses beasiswa.
1286,puas, Pelayanan tata usaha kampus sangat responsif dalam mengurus perpanjangan izin tinggal bagi mahasiswa asing.
1287,sedih, Saya merasasedih karena tata usaha kampus terkadang tidak memberikan bantuan yang memadai bagi mahasiswa yang mengalami kendala teknis dalam pendaftaran mata kuliah.
1288,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan izin studi lapangan bagi mahasiswa.
1289,sedih, Saya merasasedih karena tata usaha kampus kadangkala lambat dalam mengurus proses pengurusan izin studi lapangan bagi mahasiswa.
1290,puas, Pelayanan tata usaha kampus sangat sigap dalam memberikan informasi tentang prosedur pengajuan judul skripsi bagi mahasiswa.
1291,sedih, Saya merasasedih karena tata usaha kampus tidak memberikan panduan yang cukup jelas dalam proses pengajuan judul skripsi.
1292,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan perpanjangan peminjaman buku perpustakaan bagi mahasiswa.
1293,sedih, Saya merasasedih karena tata usaha kampus terkadang tidak memberikan peringatan dini mengenai batas waktu peminjaman buku perpustakaan.
1294,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang peluang pengabdian masyarakat bagi mahasiswa.
1295,sedih, Saya merasasedih karena tata usaha kampus tidak selalu memberikan dukungan yang memadai bagi mahasiswa yang tertarik untuk berkontribusi dalam program pengabdian masyarakat.
1296,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan izin observasi lapangan bagi mahasiswa.
1297,sedih, Saya merasasedih karena tata usaha kampus tidak selalu memberikan dukungan yang memadai bagi mahasiswa yang ingin melakukan observasi lapangan.
1298,puas, Pelayanan tata usaha kampus sangat sigap dalam mengurus proses pengurusan izin wawancara bagi mahasiswa yang sedang melakukan penelitian.
1299,sedih, Saya merasasedih karena tata usaha kampus terkadang tidak memberikan panduan yang lengkap tentang proses pengurusan izin wawancara bagi mahasiswa.
1300,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan izin akses ke laboratorium bagi mahasiswa.
1301,sedih, Saya merasasedih karena tata usaha kampus terkadang tidak memberikan respon yang cepat terhadap permohonan izin akses ke laboratorium.
1302,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pengurusan surat keterangan pengganti KTM bagi mahasiswa yang kehilangan KTM.
1303,sedih, Saya merasasedih karena tata usaha kampus terkadang memperlambat proses pengurusan surat keterangan pengganti KTM bagi mahasiswa yang kehilangan KTM.
1304,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi tentang persyaratan wisuda bagi mahasiswa.
1305,sedih, Saya merasasedih karena tata usaha kampus terkadang tidak memberikan panduan yang lengkap tentang persyaratan wisuda bagi mahasiswa.
1306,kesal, Saya merasa kesal karena tata usaha kampus seringkali lambat dalam mengurus proses administrasi pembayaran uang kuliah.
1307,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang tidak responsif terhadap permohonan dispensasi kuliah.
1308,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan penjelasan yang memadai mengenai biaya pendaftaran ulang setiap semester.
1309,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang akurat tentang jadwal kuliah dan pengumuman penting.
1310,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak menjawab telepon atau email dengan baik dan jelas.
1311,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pelayanan yang ramah dan sopan kepada mahasiswa.
1312,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang tepat tentang perubahan jadwal kuliah.
1313,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan kemudahan dalam proses pengajuan cuti kuliah.
1314,kesal, Saya merasa kesal karena tata usaha kampus tidak menginformasikan dengan jelas tentang peraturan dan tata tertib kampus.
1315,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kendala akademik.
1316,kesal, Saya merasa kesal karena tata usaha kampus seringkali lambat dalam memproses pengurusan surat-surat penting bagi mahasiswa.
1317,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang prosedur pengajuan skripsi.
1318,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak menggubris keluhan atau masukan dari mahasiswa.
1319,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan magang.
1320,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak responsif dalam menghadapi keluhan dari mahasiswa.
1321,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan panduan yang lengkap tentang proses pembuatan KTM baru.
1322,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan informasi yang akurat tentang jadwal ujian.
1323,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan bantuan yang memadai dalam mengurus pengurusan beasiswa.
1324,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang tepat tentang proses pembayaran uang kuliah.
1325,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pelayanan yang cepat dalam proses pengurusan administrasi mahasiswa baru.
1326,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan penjelasan yang memadai tentang syarat dan ketentuan peminjaman buku di perpustakaan kampus.
1327,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang diperlukan dalam proses pengajuan cuti kuliah.
1328,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan bantuan yang memadai dalam mengurus surat keterangan aktif kuliah.
1329,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pembuatan surat keterangan aktif kuliah.
1330,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam proses pengurusan izin cuti kuliah.
1331,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan respon yang cepat terhadap pertanyaan dan keluhan mahasiswa.
1332,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak mengurus dispensasi kuliah dengan segera.
1333,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam proses pengurusan cuti kuliah.
1334,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan ujian.
1335,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan bantuan yang diperlukan dalam mengurus surat rekomendasi beasiswa.
1336,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah.
1337,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah.
1338,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan penjelasan yang memadai tentang prosedur penggantian dosen pembimbing skripsi.
1339,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan penggantian dosen pembimbing skripsi.
1340,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang proses pengajuan perpanjangan waktu skripsi.
1341,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan respon yang cepat terhadap permohonan perpanjangan waktu skripsi.
1342,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang proses pendaftaran seminar skripsi.
1343,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang tidak responsif terhadap pertanyaan mahasiswa tentang seminar skripsi.
1344,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan pelayanan yang ramah saat proses pendaftaran wisuda.
1345,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang lengkap tentang proses pendaftaran wisuda.
1346,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus proses pendaftaran wisuda.
1347,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan penjelasan yang jelas tentang persyaratan mengikuti wisuda.
1348,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang jadwal ujian skripsi.
1349,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pengajuan perpanjangan ujian skripsi.
1350,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan respon yang cepat terhadap permohonan perpanjangan ujian skripsi.
1351,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan mengikuti ujian akhir semester.
1352,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa menghadapi masalah akademik.
1353,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon permohonan pengurusan surat-surat penting mahasiswa.
1354,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pengajuan dispensasi kuliah.
1355,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan masa studi.
1356,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang biaya pembuatan KTM baru.
1357,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang baik dalam mengurus proses pendaftaran mata kuliah.
1358,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif dalam memproses pengurusan surat keterangan aktif kuliah.
1359,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang prosedur penggantian buku perpustakaan yang hilang.
1360,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan.
1361,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan informasi yang akurat tentang persyaratan pendaftaran mata kuliah prasyarat.
1362,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan penjelasan yang memadai tentang proses pengunduran diri dari suatu mata kuliah.
1363,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus pendaftaran mata kuliah ulang.
1364,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang proses pengajuan cuti kuliah akademik.
1365,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan respon yang cepat terhadap pertanyaan mengenai pendaftaran mata kuliah.
1366,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pembuatan surat keterangan aktif kuliah.
1367,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus perpanjangan masa studi.
1368,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak menginformasikan dengan jelas tentang tata cara pembayaran uang kuliah.
1369,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan bantuan yang memadai dalam mengurus pengurusan beasiswa.
1370,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan penjelasan yang memadai tentang prosedur pengajuan cuti kuliah akademik.
1371,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan kegiatan kampus.
1372,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi.
1373,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus penggantian KTM yang hilang.
1374,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester.
1375,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi.
1376,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi.
1377,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah ulang.
1378,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang proses pendaftaran mata kuliah prasyarat.
1379,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.
1380,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang.
1381,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat.
1382,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang.
1383,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang lambat dalam merespon pertanyaan mahasiswa.
1384,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang proses pendaftaran mata kuliah prasyarat.
1385,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus perpanjangan peminjaman buku perpustakaan.
1386,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengajukan cuti kuliah.
1387,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus dispensasi kuliah.
1388,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pengajuan dispensasi kuliah.
1389,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan dukungan yang memadai dalam mengurus penggantian KTM yang hilang.
1390,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan pelayanan yang baik dalam mengurus proses pendaftaran mata kuliah.
1391,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa mengenai proses administrasi.
1392,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang syarat dan ketentuan mengikuti ujian akhir semester.
1393,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan perpanjangan masa studi.
1394,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif terhadap permohonan mahasiswa dalam pengurusan administrasi.
1395,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan panduan yang jelas tentang proses pendaftaran mata kuliah ulang.
1396,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak memberikan panduan yang jelas tentang proses pendaftaran mata kuliah prasyarat.
1397,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.
1398,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang persyaratan pengambilan mata kuliah ulang.
1399,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan dukungan yang memadai dalam mengurus pendaftaran mata kuliah prasyarat.
1400,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang proses pengambilan mata kuliah ulang.
1401,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan pengarahan yang jelas tentang prosedur pengambilan KTM baru.
1402,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal perwalian.
1403,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak responsif dalam merespon permohonan dispensasi kuliah.
1404,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang persyaratan pembuatan surat keterangan aktif kuliah.
1405,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan bantuan yang memadai dalam mengurus pengurusan surat-surat penting mahasiswa.
1406,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang prosedur pembuatan KTM baru.
1407,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang baik dalam mengurus proses perpanjangan masa studi.
1408,kesal, Saya merasa kesal karena tata usaha kampus tidak responsif dalam mengatasi keluhan mahasiswa tentang biaya kuliah yang tidak sesuai.
1409,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus pengajuan cuti kuliah akademik.
1410,kesal, Saya merasa kesal karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang prosedur penggantian buku perpustakaan yang hilang.
1411,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak responsif dalam merespon permohonan dispensasi kuliah.
1412,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang prosedur pengambilan mata kuliah ulang.
1413,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus perpanjangan masa studi.
1414,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan panduan yang jelas tentang prosedur penggantian KTM yang hilang.
1415,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan pelayanan yang ramah saat mahasiswa mengajukan pertanyaan.
1416,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang akurat tentang persyaratan pendaftaran mata kuliah prasyarat.
1417,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus permohonan dispensasi kuliah.
1418,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan bantuan yang memadai dalam mengurus pendaftaran mata kuliah ulang.
1419,kecewa, Saya merasa kecewa  karena tata usaha kampus terkadang tidak memberikan penjelasan yang memadai tentang proses pengunduran diri dari suatu mata kuliah.
1420,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan informasi yang lengkap tentang syarat dan ketentuan mengajukan cuti kuliah.
1421,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan dukungan yang memadai dalam mengurus perpanjangan masa studi.
1422,kesal, Saya merasa kesal karena tata usaha kampus terkadang tidak menginformasikan dengan jelas tentang tata cara pembayaran uang kuliah.
1423,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan bantuan yang memadai dalam mengurus pengurusan beasiswa.
1424,kesal, Saya merasa kesal karena tata usaha kampus tidak memberikan penjelasan yang memadai tentang prosedur pengajuan cuti kuliah akademik.
1425,kecewa, Saya merasa kecewa  karena tata usaha kampus tidak selalu memberikan informasi yang akurat tentang jadwal kuliah dan kegiatan kampus.
